#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FANCB	FANCC	9606.ENSP00000498215	9606.ENSP00000289081	0	0	0	0	0.058	0.998	0.900	0.998	0.999
FANCC	FANCM	9606.ENSP00000289081	9606.ENSP00000267430	0	0	0	0	0.097	0.994	0.900	0.998	0.999
FANCM	RMI2	9606.ENSP00000267430	9606.ENSP00000310356	0	0	0	0	0.068	0.999	0.900	0.700	0.999
FGF16	FGFR4	9606.ENSP00000399324	9606.ENSP00000292408	0	0	0	0	0	0.399	0.650	0.973	0.994
FGF16	FGFR1	9606.ENSP00000399324	9606.ENSP00000393312	0	0	0	0	0.042	0.538	0.900	0.995	0.999
FGF5	FGFR4	9606.ENSP00000311697	9606.ENSP00000292408	0	0	0	0	0	0.481	0.650	0.985	0.997
FGF5	FGFR1	9606.ENSP00000311697	9606.ENSP00000393312	0	0	0	0	0.044	0.381	0.900	0.997	0.999
FGFR1	FGFR4	9606.ENSP00000393312	9606.ENSP00000292408	0	0	0.061	0.955	0	0.221	0.400	0.935	0.967
FUT2	FUT9	9606.ENSP00000387498	9606.ENSP00000302599	0	0	0	0	0.059	0	0.900	0.610	0.960
GRP	VIP	9606.ENSP00000256857	9606.ENSP00000356213	0	0	0	0	0.118	0	0	0.919	0.925
GRP	SST	9606.ENSP00000256857	9606.ENSP00000287641	0	0	0	0	0.114	0	0	0.941	0.946
GRP	TAC1	9606.ENSP00000256857	9606.ENSP00000321106	0	0	0	0	0.049	0	0	0.995	0.995
H2AC14	H4C6	9606.ENSP00000328484	9606.ENSP00000244537	0	0.028	0	0	0.441	0.925	0.400	0.395	0.982
H4C6	PBRM1	9606.ENSP00000244537	9606.ENSP00000386593	0	0	0	0	0.049	0.924	0.500	0.204	0.967
H4C6	TAF1	9606.ENSP00000244537	9606.ENSP00000406549	0	0	0	0	0	0.948	0	0.964	0.998
HSPB3	IGF2	9606.ENSP00000303394	9606.ENSP00000391826	0	0	0	0	0	0	0	0.984	0.984
IRS4	PIK3CG	9606.ENSP00000361202	9606.ENSP00000419260	0	0	0	0	0.051	0.133	0.900	0.404	0.944
ISL1	LDB2	9606.ENSP00000230658	9606.ENSP00000306772	0	0	0	0	0.042	0.399	0	0.944	0.965
ITGA2	ITGB8	9606.ENSP00000296585	9606.ENSP00000222573	0	0	0	0	0.080	0.114	0.900	0.640	0.966
KRT18	KRT19	9606.ENSP00000373489	9606.ENSP00000355124	0	0	0	0.915	0.475	0.166	0.400	0.761	0.928
MATN3	SLC26A2	9606.ENSP00000383894	9606.ENSP00000286298	0	0	0	0	0	0.053	0	0.906	0.907
NPY	SST	9606.ENSP00000384364	9606.ENSP00000287641	0	0	0	0	0.344	0	0.500	0.944	0.980
NPY	TAC1	9606.ENSP00000384364	9606.ENSP00000321106	0	0	0	0	0.108	0	0	0.927	0.932
NPY	VIP	9606.ENSP00000384364	9606.ENSP00000356213	0	0	0.200	0	0.151	0	0	0.972	0.980
NUP43	NUP58	9606.ENSP00000342262	9606.ENSP00000371155	0	0	0	0	0.144	0.818	0.500	0.785	0.981
PAK3	ROBO2	9606.ENSP00000353864	9606.ENSP00000417335	0	0	0	0	0.115	0.073	0.900	0.077	0.914
RHOQ	TRIP10	9606.ENSP00000238738	9606.ENSP00000320117	0	0	0	0	0	0.367	0.900	0.658	0.976
ROBO2	SRGAP1	9606.ENSP00000417335	9606.ENSP00000347198	0	0	0	0	0	0.049	0.900	0.652	0.964
RSPO2	ZNRF3	9606.ENSP00000276659	9606.ENSP00000443824	0	0	0	0	0.055	0.979	0.900	0.880	0.999
S100A12	S100A8	9606.ENSP00000357726	9606.ENSP00000357721	0	0	0	0.846	0.988	0.046	0	0.591	0.995
SCG2	SCG3	9606.ENSP00000304133	9606.ENSP00000220478	0	0	0	0	0.218	0	0	0.907	0.924
SCT	SST	9606.ENSP00000176195	9606.ENSP00000287641	0	0	0	0	0	0	0	0.912	0.912
SCT	VIP	9606.ENSP00000176195	9606.ENSP00000356213	0	0	0	0	0	0	0.400	0.987	0.991
SNAP25	SYT1	9606.ENSP00000254976	9606.ENSP00000261205	0	0	0	0	0.405	0.974	0.500	0.997	0.999
SST	VIP	9606.ENSP00000287641	9606.ENSP00000356213	0	0	0	0	0.178	0	0	0.931	0.941
SST	TAC1	9606.ENSP00000287641	9606.ENSP00000321106	0	0	0	0	0.210	0	0	0.961	0.968
TAC1	VIP	9606.ENSP00000321106	9606.ENSP00000356213	0	0	0	0	0.159	0	0	0.970	0.973
TAC1	TAC3	9606.ENSP00000321106	9606.ENSP00000483110	0	0	0	0	0.072	0	0.400	0.998	0.998
WIF1	WNT10B	9606.ENSP00000286574	9606.ENSP00000301061	0	0	0	0	0	0	0.900	0.516	0.949
