#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIM2	CASP5	9606.ENSP00000357112	9606.ENSP00000376849	0	0	0	0	0.180	0	0.900	0.884	0.989
CD38	P2RY14	9606.ENSP00000226279	9606.ENSP00000308361	0	0	0	0	0.067	0	0	0.492	0.505
CD38	FOLH1	9606.ENSP00000226279	9606.ENSP00000256999	0	0	0	0	0.043	0	0	0.575	0.575
CD38	KLRB1	9606.ENSP00000226279	9606.ENSP00000229402	0	0	0	0	0.121	0	0	0.581	0.616
CD38	CD79B	9606.ENSP00000226279	9606.ENSP00000376544	0	0	0	0	0.086	0	0	0.601	0.619
CD38	SELE	9606.ENSP00000226279	9606.ENSP00000331736	0	0	0	0	0.068	0	0	0.626	0.636
CD38	FCGR1A	9606.ENSP00000226279	9606.ENSP00000358165	0	0	0	0	0.072	0	0	0.752	0.760
CD38	LOC102723407	9606.ENSP00000226279	9606.ENSP00000478289	0	0	0	0	0	0	0	0.794	0.794
CD3D	CRTAM	9606.ENSP00000300692	9606.ENSP00000227348	0	0	0	0	0.299	0	0	0.228	0.436
CD3D	KLRB1	9606.ENSP00000300692	9606.ENSP00000229402	0	0	0	0	0.524	0.045	0	0.627	0.815
CD3D	SIT1	9606.ENSP00000300692	9606.ENSP00000259608	0	0	0	0	0.404	0	0	0.167	0.482
CD3D	LILRA4	9606.ENSP00000300692	9606.ENSP00000291759	0	0	0	0	0.088	0.045	0	0.380	0.413
CD3D	CD79B	9606.ENSP00000300692	9606.ENSP00000376544	0	0	0	0	0.286	0	0	0.594	0.698
CD72	CD79B	9606.ENSP00000259633	9606.ENSP00000376544	0	0	0.246	0	0.415	0	0	0.586	0.801
CD79B	GRAP	9606.ENSP00000376544	9606.ENSP00000284154	0	0	0	0	0.346	0	0	0.164	0.430
CD79B	LOC102723407	9606.ENSP00000376544	9606.ENSP00000478289	0	0	0	0	0.055	0	0.540	0.891	0.948
CD79B	IGHD	9606.ENSP00000376544	9606.ENSP00000478893	0	0	0	0	0	0.895	0.540	0.330	0.964
CDH13	HP	9606.ENSP00000268613	9606.ENSP00000348170	0	0	0	0	0.050	0	0	0.424	0.429
CENPA	LMNB1	9606.ENSP00000336868	9606.ENSP00000261366	0	0	0	0	0.296	0.073	0	0.578	0.701
CENPA	TUBB3	9606.ENSP00000336868	9606.ENSP00000320295	0	0	0	0	0.098	0.125	0	0.346	0.439
CENPA	EMC10	9606.ENSP00000336868	9606.ENSP00000334037	0	0	0	0	0	0	0	0.494	0.493
CENPA	LTB4R	9606.ENSP00000336868	9606.ENSP00000380008	0	0	0	0	0	0	0	0.414	0.414
CENPA	H2AB2	9606.ENSP00000336868	9606.ENSP00000346509	0	0	0	0	0.128	0.207	0	0.609	0.706
CENPA	PRC1	9606.ENSP00000336868	9606.ENSP00000377793	0	0	0	0	0.655	0.072	0	0.346	0.772
CENPA	H2AB1	9606.ENSP00000336868	9606.ENSP00000484261	0	0	0	0	0.128	0.207	0.500	0.560	0.827
CENPA	INCENP	9606.ENSP00000336868	9606.ENSP00000378295	0	0	0	0	0.279	0.164	0	0.793	0.865
CENPA	H3C12	9606.ENSP00000336868	9606.ENSP00000352252	0	0	0.085	0.901	0.060	0.852	0	0.429	0.917
CITED1	RBL1	9606.ENSP00000401764	9606.ENSP00000362768	0	0	0	0	0	0.428	0	0	0.428
CNGB3	OCA2	9606.ENSP00000316605	9606.ENSP00000346659	0	0	0	0	0.054	0	0	0.440	0.448
CNR1	SST	9606.ENSP00000358513	9606.ENSP00000287641	0	0	0	0	0.086	0	0	0.433	0.459
CNR1	TAC1	9606.ENSP00000358513	9606.ENSP00000321106	0	0	0	0	0.105	0	0	0.409	0.448
CNR1	GAD1	9606.ENSP00000358513	9606.ENSP00000350928	0	0	0	0	0.095	0.050	0	0.439	0.476
CNR1	GRIA1	9606.ENSP00000358513	9606.ENSP00000428994	0	0	0	0	0.148	0.061	0	0.375	0.456
CNTLN	EPB41	9606.ENSP00000370021	9606.ENSP00000345259	0	0	0	0	0	0	0	0.511	0.511
COL4A1	COL5A2	9606.ENSP00000364979	9606.ENSP00000364000	0	0	0.097	0.693	0.480	0	0.400	0.731	0.914
COL4A1	F10	9606.ENSP00000364979	9606.ENSP00000364709	0	0	0	0	0.067	0.051	0	0.428	0.449
COMP	TTR	9606.ENSP00000222271	9606.ENSP00000237014	0	0	0	0	0	0.071	0	0.451	0.468
COMP	EPYC	9606.ENSP00000222271	9606.ENSP00000261172	0	0	0	0	0.231	0.099	0	0.317	0.485
CPB1	CPB2	9606.ENSP00000417222	9606.ENSP00000181383	0	0	0.085	0.910	0.049	0	0.900	0.420	0.942
CPB1	LTF	9606.ENSP00000417222	9606.ENSP00000231751	0	0	0	0	0.074	0	0	0.450	0.470
CPB2	HP	9606.ENSP00000181383	9606.ENSP00000348170	0	0	0	0	0.266	0.113	0	0.163	0.407
CPB2	GC	9606.ENSP00000181383	9606.ENSP00000421725	0	0	0	0	0.350	0	0	0.164	0.433
CPB2	HPR	9606.ENSP00000181383	9606.ENSP00000441828	0	0	0	0	0.296	0.113	0	0.189	0.450
CPB2	F9	9606.ENSP00000181383	9606.ENSP00000218099	0	0	0	0	0.264	0.126	0	0.490	0.644
CPB2	F10	9606.ENSP00000181383	9606.ENSP00000364709	0	0	0	0	0.170	0.126	0	0.590	0.677
CRLF2	TAC1	9606.ENSP00000370978	9606.ENSP00000321106	0	0	0	0	0	0	0	0.436	0.436
CRLF2	IFNA8	9606.ENSP00000370978	9606.ENSP00000369553	0	0	0	0	0.042	0	0.650	0	0.650
CRLF2	LOC102723407	9606.ENSP00000370978	9606.ENSP00000478289	0	0	0	0	0	0	0	0.597	0.597
CRTAM	KLRB1	9606.ENSP00000227348	9606.ENSP00000229402	0	0	0.204	0	0.211	0	0	0.287	0.513
CXCR2	LTF	9606.ENSP00000319635	9606.ENSP00000231751	0	0	0	0	0.105	0	0	0.369	0.411
CXCR2	FCGR1A	9606.ENSP00000319635	9606.ENSP00000358165	0	0	0	0	0.083	0.098	0	0.357	0.421
CXCR2	SELE	9606.ENSP00000319635	9606.ENSP00000331736	0	0	0	0	0.074	0	0	0.474	0.492
CXCR2	GRIA1	9606.ENSP00000319635	9606.ENSP00000428994	0	0	0	0	0	0.631	0	0.104	0.655
CYP27B1	CYP2D6	9606.ENSP00000228606	9606.ENSP00000496150	0	0	0.240	0.593	0.062	0.091	0	0.260	0.456
CYP27B1	GC	9606.ENSP00000228606	9606.ENSP00000421725	0	0	0	0	0.055	0	0	0.856	0.858
CYP2D6	CYP4F3	9606.ENSP00000496150	9606.ENSP00000221307	0	0	0.242	0.587	0.082	0.065	0.098	0.221	0.461
CYP2D6	CYP4F2	9606.ENSP00000496150	9606.ENSP00000221700	0	0	0.240	0.593	0.102	0.065	0.098	0.323	0.539
CYP2D6	SLC47A1	9606.ENSP00000496150	9606.ENSP00000270570	0	0	0	0	0.066	0	0	0.447	0.461
CYP2D6	CYP3A7	9606.ENSP00000496150	9606.ENSP00000337450	0	0	0.236	0.604	0.089	0.076	0.116	0.334	0.552
CYP2D6	CYP4F12	9606.ENSP00000496150	9606.ENSP00000448998	0	0	0.238	0.596	0.091	0.065	0.098	0.227	0.467
CYP2D6	ENSP00000480571	9606.ENSP00000496150	9606.ENSP00000480571	0	0	0.235	0.606	0.063	0	0	0.299	0.453
CYP3A7	CYP4F3	9606.ENSP00000337450	9606.ENSP00000221307	0	0	0.195	0.688	0.137	0.071	0.107	0.204	0.458
CYP3A7	CYP4F2	9606.ENSP00000337450	9606.ENSP00000221700	0	0	0.197	0.683	0.161	0.071	0.107	0.200	0.472
CYP3A7	CYP4F12	9606.ENSP00000337450	9606.ENSP00000448998	0	0	0.194	0.689	0.124	0.071	0.107	0.212	0.455
CYP3A7	ENSP00000480571	9606.ENSP00000337450	9606.ENSP00000480571	0	0	0.047	0.987	0	0.051	0.905	0.079	0.911
CYP4F12	CYP4F2	9606.ENSP00000448998	9606.ENSP00000221700	0	0	0.050	0.981	0.212	0.472	0	0.058	0.578
CYP4F2	F9	9606.ENSP00000221700	9606.ENSP00000218099	0	0	0	0	0.154	0.071	0	0.542	0.609
CYP4F2	CYP4F3	9606.ENSP00000221700	9606.ENSP00000221307	0	0	0.049	0.983	0.775	0	0.900	0.057	0.977
DDC	SST	9606.ENSP00000403644	9606.ENSP00000287641	0	0	0	0	0.084	0	0	0.503	0.525
DDC	GOT1	9606.ENSP00000403644	9606.ENSP00000359539	0	0	0	0	0.120	0	0.900	0.278	0.931
DMRT1	TEX14	9606.ENSP00000371711	9606.ENSP00000240361	0	0	0	0	0	0	0	0.475	0.475
DOCK2	IRAK4	9606.ENSP00000429283	9606.ENSP00000479889	0	0	0	0	0.060	0.045	0	0.490	0.502
DOCK3	SYT1	9606.ENSP00000266037	9606.ENSP00000261205	0	0	0	0	0.150	0	0	0.431	0.496
DOK2	GRAP	9606.ENSP00000276420	9606.ENSP00000284154	0	0	0	0	0.138	0.071	0	0.533	0.593
E2F2	TFDP3	9606.ENSP00000355249	9606.ENSP00000385461	0	0	0	0	0.070	0.419	0	0.673	0.807
E2F2	RBL1	9606.ENSP00000355249	9606.ENSP00000362768	0	0	0	0	0.099	0.740	0.900	0.389	0.983
ELAVL2	IFNA8	9606.ENSP00000369453	9606.ENSP00000369553	0	0	0	0	0.067	0	0	0.445	0.460
EPB41	GRIA1	9606.ENSP00000345259	9606.ENSP00000428994	0	0	0	0	0	0.045	0	0.521	0.522
ERMAP	LTF	9606.ENSP00000361595	9606.ENSP00000231751	0	0	0	0	0.059	0	0	0.584	0.593
ERMAP	SLC14A1	9606.ENSP00000361595	9606.ENSP00000390637	0	0	0	0	0.062	0	0	0.451	0.463
F10	F9	9606.ENSP00000364709	9606.ENSP00000218099	0	0	0.082	0.915	0.143	0	0.900	0.476	0.953
F9	TTR	9606.ENSP00000218099	9606.ENSP00000237014	0	0	0	0	0.200	0	0	0.381	0.484
F9	HPRT1	9606.ENSP00000218099	9606.ENSP00000298556	0	0	0	0	0.103	0	0	0.456	0.491
FAHD2A	FAHD2B	9606.ENSP00000233379	9606.ENSP00000410470	0	0	0.047	0.986	0.128	0.698	0	0.050	0.729
FCGR1A	LOC102723407	9606.ENSP00000358165	9606.ENSP00000478289	0	0	0	0	0	0	0.900	0.260	0.922
FGF20	GLI1	9606.ENSP00000180166	9606.ENSP00000228682	0	0	0	0	0	0.045	0	0.504	0.506
FOLH1	SST	9606.ENSP00000256999	9606.ENSP00000287641	0	0	0	0	0.097	0	0	0.518	0.546
FOLH1	PTK7	9606.ENSP00000256999	9606.ENSP00000418754	0	0	0	0	0.046	0.046	0	0.630	0.635
FOLH1	FOLR3	9606.ENSP00000256999	9606.ENSP00000481114	0	0	0	0	0	0	0	0.797	0.797
FOLR3	MCTP1	9606.ENSP00000481114	9606.ENSP00000424126	0	0	0	0	0	0	0	0.400	0.400
FOXO4	GLI1	9606.ENSP00000363377	9606.ENSP00000228682	0	0	0	0	0.074	0.096	0	0.478	0.525
GAD1	SYT1	9606.ENSP00000350928	9606.ENSP00000261205	0	0	0	0	0.173	0	0.500	0.441	0.748
GAD1	SST	9606.ENSP00000350928	9606.ENSP00000287641	0	0	0	0	0.135	0	0	0.859	0.873
GAD1	TUBB3	9606.ENSP00000350928	9606.ENSP00000320295	0	0	0	0	0.056	0	0	0.421	0.431
GAD1	TAC1	9606.ENSP00000350928	9606.ENSP00000321106	0	0	0	0	0.083	0	0	0.675	0.689
GAD1	STMN2	9606.ENSP00000350928	9606.ENSP00000429243	0	0	0	0	0.123	0.045	0	0.354	0.411
GAD1	NEFL	9606.ENSP00000350928	9606.ENSP00000482169	0	0	0	0	0.162	0.046	0	0.368	0.451
GAD1	GRIA1	9606.ENSP00000350928	9606.ENSP00000428994	0	0	0	0	0.137	0	0	0.592	0.633
GAD1	GOT1	9606.ENSP00000350928	9606.ENSP00000359539	0	0	0	0	0.057	0	0.800	0.244	0.845
GALR2	SST	9606.ENSP00000329684	9606.ENSP00000287641	0	0	0	0	0.044	0	0.500	0.355	0.665
GALR2	PNOC	9606.ENSP00000329684	9606.ENSP00000301908	0	0	0	0	0.042	0.136	0.500	0.185	0.617
GALR2	TAC1	9606.ENSP00000329684	9606.ENSP00000321106	0	0	0	0	0	0	0	0.538	0.538
GC	LTF	9606.ENSP00000421725	9606.ENSP00000231751	0	0	0	0	0.099	0	0	0.628	0.650
GC	TTR	9606.ENSP00000421725	9606.ENSP00000237014	0	0	0	0	0.728	0	0	0.645	0.899
GC	HP	9606.ENSP00000421725	9606.ENSP00000348170	0	0	0	0	0.255	0.238	0	0.848	0.906
GC	HPR	9606.ENSP00000421725	9606.ENSP00000441828	0	0	0	0	0.259	0	0	0.332	0.484
GCK	NUP93	9606.ENSP00000223366	9606.ENSP00000310668	0	0	0	0	0	0	0.400	0	0.400
GCK	SI	9606.ENSP00000223366	9606.ENSP00000264382	0	0	0	0	0.056	0	0.116	0.463	0.512
GCK	ONECUT1	9606.ENSP00000223366	9606.ENSP00000302630	0	0	0	0	0.045	0	0	0.542	0.543
GCK	SST	9606.ENSP00000223366	9606.ENSP00000287641	0	0	0	0	0.074	0	0	0.560	0.575
GDAP1	PRX	9606.ENSP00000220822	9606.ENSP00000326018	0	0	0	0	0	0	0	0.544	0.544
GDAP1	NEFL	9606.ENSP00000220822	9606.ENSP00000482169	0	0	0	0	0.129	0	0	0.623	0.658
GLI1	H3C12	9606.ENSP00000228682	9606.ENSP00000352252	0	0	0	0	0	0.099	0	0.398	0.435
GLI1	RAB23	9606.ENSP00000228682	9606.ENSP00000417610	0	0	0	0	0.043	0	0	0.438	0.439
GLI1	TUBB3	9606.ENSP00000228682	9606.ENSP00000320295	0	0	0	0	0	0.334	0	0.194	0.441
GLRA1	GLRB	9606.ENSP00000411593	9606.ENSP00000264428	0	0	0.083	0.903	0.061	0.410	0.500	0.375	0.812
GLRB	SYNGR3	9606.ENSP00000264428	9606.ENSP00000248121	0	0	0	0	0.095	0	0	0.379	0.414
GOT1	NUP93	9606.ENSP00000359539	9606.ENSP00000310668	0	0	0	0	0.064	0.310	0	0.186	0.428
GPR22	SST	9606.ENSP00000302676	9606.ENSP00000287641	0	0	0	0	0.062	0	0	0.520	0.530
GRAP	PRLH	9606.ENSP00000284154	9606.ENSP00000165524	0	0	0	0	0.042	0	0	0.582	0.582
GRIA1	SYT1	9606.ENSP00000428994	9606.ENSP00000261205	0	0	0.213	0	0.197	0.061	0	0.479	0.649
GRIA1	SST	9606.ENSP00000428994	9606.ENSP00000287641	0	0	0	0	0.135	0	0	0.357	0.420
GRIA1	TUBB3	9606.ENSP00000428994	9606.ENSP00000320295	0	0	0	0	0.053	0	0	0.427	0.434
GRIA1	NETO2	9606.ENSP00000428994	9606.ENSP00000455169	0	0	0	0	0.055	0	0	0.409	0.418
GRIA1	NEFL	9606.ENSP00000428994	9606.ENSP00000482169	0	0	0	0	0.170	0	0.500	0.250	0.661
GTF2H3	RPA3	9606.ENSP00000445162	9606.ENSP00000223129	0	0	0	0	0.067	0.076	0.500	0.305	0.660
GTF2H3	POLR2J	9606.ENSP00000445162	9606.ENSP00000292614	0	0	0	0	0.054	0.897	0.500	0.084	0.949
GTF2H3	POLR2J2	9606.ENSP00000445162	9606.ENSP00000330898	0	0	0	0	0.042	0.508	0	0	0.508
GTF2H3	UPK3BL1	9606.ENSP00000445162	9606.ENSP00000342938	0	0	0	0	0	0.439	0	0	0.439
GTF2H3	POLR2J3	9606.ENSP00000445162	9606.ENSP00000483328	0	0	0	0	0	0.508	0	0	0.508
H2AB1	POLR2J	9606.ENSP00000484261	9606.ENSP00000292614	0	0	0	0	0	0.256	0.500	0	0.612
H2AB1	PAGR1	9606.ENSP00000484261	9606.ENSP00000326519	0	0	0	0	0	0	0.500	0	0.499
H2AB1	H3C12	9606.ENSP00000484261	9606.ENSP00000352252	0	0	0	0	0.128	0.177	0.400	0.361	0.688
H2AB1	HOXB1	9606.ENSP00000484261	9606.ENSP00000355140	0	0	0	0	0	0	0.500	0	0.499
H2AB2	H3C12	9606.ENSP00000346509	9606.ENSP00000352252	0	0	0	0	0.128	0.914	0	0.450	0.955
H3C12	LTF	9606.ENSP00000352252	9606.ENSP00000231751	0	0	0	0	0.051	0.046	0	0.493	0.501
H3C12	LMNB1	9606.ENSP00000352252	9606.ENSP00000261366	0	0	0	0	0.092	0	0	0.741	0.755
H3C12	POLR2J	9606.ENSP00000352252	9606.ENSP00000292614	0	0	0	0	0.072	0.284	0.500	0.104	0.662
H3C12	HPRT1	9606.ENSP00000352252	9606.ENSP00000298556	0	0	0	0	0.044	0	0	0.407	0.408
H3C12	PAGR1	9606.ENSP00000352252	9606.ENSP00000326519	0	0	0	0	0	0	0.500	0.407	0.690
H3C12	LOC102723407	9606.ENSP00000352252	9606.ENSP00000478289	0	0	0	0	0	0	0	0.592	0.592
H3C12	HOXB1	9606.ENSP00000352252	9606.ENSP00000355140	0	0	0	0	0	0	0.500	0.453	0.714
H3C12	INCENP	9606.ENSP00000352252	9606.ENSP00000378295	0	0	0	0	0.093	0.168	0	0.776	0.816
HBE1	HP	9606.ENSP00000292896	9606.ENSP00000348170	0	0	0	0	0.088	0.106	0.540	0.495	0.785
HHLA2	KIR3DL1	9606.ENSP00000350402	9606.ENSP00000375608	0	0	0	0	0	0	0	0.409	0.409
HOXB1	POLR2J	9606.ENSP00000355140	9606.ENSP00000292614	0	0	0	0	0	0	0.500	0	0.499
HOXB1	HOXB9	9606.ENSP00000355140	9606.ENSP00000309439	0	0	0	0.680	0.075	0.134	0	0.328	0.415
HOXB1	PAGR1	9606.ENSP00000355140	9606.ENSP00000326519	0	0	0	0	0	0	0.500	0.099	0.530
HOXB1	ROBO3	9606.ENSP00000355140	9606.ENSP00000380903	0	0	0	0	0.086	0	0	0.585	0.604
HP	LTF	9606.ENSP00000348170	9606.ENSP00000231751	0	0	0	0	0.260	0.052	0	0.752	0.811
HP	TTR	9606.ENSP00000348170	9606.ENSP00000237014	0	0	0	0	0.085	0	0	0.865	0.871
HP	HPR	9606.ENSP00000348170	9606.ENSP00000441828	0	0	0.049	0.982	0.906	0.432	0	0.385	0.964
HPRT1	PDE9A	9606.ENSP00000298556	9606.ENSP00000291539	0	0	0	0	0	0	0.900	0.086	0.904
HPRT1	TUBB3	9606.ENSP00000298556	9606.ENSP00000320295	0	0	0	0	0.070	0.234	0	0.238	0.410
IFNA8	SST	9606.ENSP00000369553	9606.ENSP00000287641	0	0	0	0	0	0	0	0.524	0.524
IGHD	LOC102723407	9606.ENSP00000478893	9606.ENSP00000478289	0	0	0	0	0.067	0.266	0.540	0.436	0.798
INCENP	PLK2	9606.ENSP00000378295	9606.ENSP00000274289	0	0	0	0	0.385	0.091	0	0.352	0.606
INCENP	NUP93	9606.ENSP00000378295	9606.ENSP00000310668	0	0	0	0	0.112	0	0.400	0.112	0.486
INCENP	PRC1	9606.ENSP00000378295	9606.ENSP00000377793	0	0	0	0	0.718	0.292	0	0.521	0.896
INCENP	KIFC3	9606.ENSP00000378295	9606.ENSP00000442008	0	0	0	0	0.525	0	0	0.093	0.550
INHBA	LOC102723407	9606.ENSP00000242208	9606.ENSP00000478289	0	0	0	0	0	0.800	0	0.056	0.803
IRAK4	UNC93B1	9606.ENSP00000479889	9606.ENSP00000227471	0	0	0	0	0.042	0	0	0.613	0.614
KIR3DL1	KLRB1	9606.ENSP00000375608	9606.ENSP00000229402	0	0	0	0	0.127	0	0	0.576	0.614
LMNB1	RPA3	9606.ENSP00000261366	9606.ENSP00000223129	0	0	0	0	0.063	0.476	0	0.151	0.546
LMNB1	PRC1	9606.ENSP00000261366	9606.ENSP00000377793	0	0	0	0	0.209	0.292	0	0.087	0.444
LMNB1	NUP93	9606.ENSP00000261366	9606.ENSP00000310668	0	0	0	0	0.104	0.190	0	0.385	0.515
LRAT	TTR	9606.ENSP00000337224	9606.ENSP00000237014	0	0	0	0	0	0	0	0.445	0.445
LRAT	RBP3	9606.ENSP00000337224	9606.ENSP00000463151	0	0	0	0	0.042	0	0	0.609	0.609
LRIT1	PTK7	9606.ENSP00000361177	9606.ENSP00000418754	0	0	0	0	0	0.518	0	0.090	0.542
LTF	SCGB2A1	9606.ENSP00000231751	9606.ENSP00000244930	0	0	0	0	0.085	0	0	0.418	0.444
LTF	TTR	9606.ENSP00000231751	9606.ENSP00000237014	0	0	0	0	0.088	0	0.400	0.670	0.803
MON1B	SYCE1L	9606.ENSP00000248248	9606.ENSP00000367911	0	0.157	0	0	0	0	0	0.480	0.543
MPV17	MRPS16	9606.ENSP00000369383	9606.ENSP00000362036	0	0	0	0	0.092	0.205	0	0.321	0.467
MRPS15	RPS4Y1	9606.ENSP00000362208	9606.ENSP00000250784	0	0	0	0	0.595	0.506	0	0.115	0.807
MRPS15	MRPS16	9606.ENSP00000362208	9606.ENSP00000362036	0.061	0	0	0	0.841	0.993	0.900	0.591	0.999
MRPS15	RSRC1	9606.ENSP00000362208	9606.ENSP00000481697	0.061	0	0	0	0.306	0.416	0	0.159	0.637
MUC3A	ST3GAL1	9606.ENSP00000368771	9606.ENSP00000428540	0	0	0	0	0	0	0.400	0.108	0.441
NEFL	SYT1	9606.ENSP00000482169	9606.ENSP00000261205	0	0	0	0	0.207	0.053	0	0.647	0.711
NEFL	PNOC	9606.ENSP00000482169	9606.ENSP00000301908	0	0	0	0	0.047	0	0	0.558	0.561
NEFL	TUBB3	9606.ENSP00000482169	9606.ENSP00000320295	0	0	0	0	0.114	0.125	0	0.487	0.567
NEFL	PRX	9606.ENSP00000482169	9606.ENSP00000326018	0	0	0	0	0	0	0	0.633	0.633
NEFL	VSNL1	9606.ENSP00000482169	9606.ENSP00000384719	0	0	0	0	0.204	0.109	0	0.580	0.676
NEFL	STMN2	9606.ENSP00000482169	9606.ENSP00000429243	0	0	0	0	0.206	0.098	0	0.395	0.529
NELL1	SYT1	9606.ENSP00000298925	9606.ENSP00000261205	0	0	0	0	0.163	0.053	0	0.379	0.465
NELL1	ROBO3	9606.ENSP00000298925	9606.ENSP00000380903	0	0	0	0	0	0.919	0	0.125	0.926
ONECUT1	TTR	9606.ENSP00000302630	9606.ENSP00000237014	0	0	0	0	0.078	0	0	0.624	0.638
PAGR1	POLR2J	9606.ENSP00000326519	9606.ENSP00000292614	0	0	0	0	0.047	0	0.500	0	0.503
PARD6B	RASSF8	9606.ENSP00000360672	9606.ENSP00000384491	0	0	0	0	0.056	0.477	0	0	0.485
PDC	RBP3	9606.ENSP00000375855	9606.ENSP00000463151	0	0	0	0	0.154	0	0	0.547	0.601
PLK2	PRC1	9606.ENSP00000274289	9606.ENSP00000377793	0	0	0	0	0.403	0	0	0.267	0.544
PLK2	RAD21L1	9606.ENSP00000274289	9606.ENSP00000386414	0	0	0	0	0.198	0.514	0	0.193	0.658
PNOC	SST	9606.ENSP00000301908	9606.ENSP00000287641	0	0	0	0	0.092	0	0.500	0.500	0.753
PNOC	TAC1	9606.ENSP00000301908	9606.ENSP00000321106	0	0	0	0	0.091	0	0	0.740	0.754
POLR2J	POLR2J3	9606.ENSP00000292614	9606.ENSP00000483328	0	0	0.050	0.980	0	0	0.900	0.052	0.902
POLR2J	POLR2J2	9606.ENSP00000292614	9606.ENSP00000330898	0	0	0.050	0.980	0.055	0.192	0.900	0.052	0.918
POLR2J2	POLR2J3	9606.ENSP00000330898	9606.ENSP00000483328	0	0	0.048	0.984	0	0	0.900	0	0.900
