	label	#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
41	1	CD3D	CRTAM	9606.ENSP00000300692	9606.ENSP00000227348	0.0	0.0	0.0	0.0	0.299	0.0	0.0	0.228	0.436
42	1	CD3D	KLRB1	9606.ENSP00000300692	9606.ENSP00000229402	0.0	0.0	0.0	0.0	0.524	0.045	0.0	0.627	0.815
43	1	CD3D	SIT1	9606.ENSP00000300692	9606.ENSP00000259608	0.0	0.0	0.0	0.0	0.404	0.0	0.0	0.167	0.482
44	1	CD3D	LILRA4	9606.ENSP00000300692	9606.ENSP00000291759	0.0	0.0	0.0	0.0	0.088	0.045	0.0	0.38	0.413
45	1	CD3D	CD79B	9606.ENSP00000300692	9606.ENSP00000376544	0.0	0.0	0.0	0.0	0.286	0.0	0.0	0.594	0.698
46	1	CD72	CD79B	9606.ENSP00000259633	9606.ENSP00000376544	0.0	0.0	0.246	0.0	0.415	0.0	0.0	0.586	0.801
47	1	CD79B	GRAP	9606.ENSP00000376544	9606.ENSP00000284154	0.0	0.0	0.0	0.0	0.346	0.0	0.0	0.164	0.43
49	1	CD79B	IGHD	9606.ENSP00000376544	9606.ENSP00000478893	0.0	0.0	0.0	0.0	0.0	0.895	0.54	0.33	0.964
50	1	CDH13	HP	9606.ENSP00000268613	9606.ENSP00000348170	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.424	0.429
51	1	CENPA	LMNB1	9606.ENSP00000336868	9606.ENSP00000261366	0.0	0.0	0.0	0.0	0.296	0.073	0.0	0.578	0.701
52	1	CENPA	TUBB3	9606.ENSP00000336868	9606.ENSP00000320295	0.0	0.0	0.0	0.0	0.098	0.125	0.0	0.346	0.439
53	1	CENPA	EMC10	9606.ENSP00000336868	9606.ENSP00000334037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.494	0.493
54	1	CENPA	LTB4R	9606.ENSP00000336868	9606.ENSP00000380008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.414	0.414
56	1	CENPA	PRC1	9606.ENSP00000336868	9606.ENSP00000377793	0.0	0.0	0.0	0.0	0.655	0.072	0.0	0.346	0.772
58	1	CENPA	INCENP	9606.ENSP00000336868	9606.ENSP00000378295	0.0	0.0	0.0	0.0	0.279	0.164	0.0	0.793	0.865
60	1	CITED1	RBL1	9606.ENSP00000401764	9606.ENSP00000362768	0.0	0.0	0.0	0.0	0.0	0.428	0.0	0.0	0.428
61	1	CNGB3	OCA2	9606.ENSP00000316605	9606.ENSP00000346659	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.44	0.448
62	1	CNR1	SST	9606.ENSP00000358513	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.433	0.459
63	1	CNR1	TAC1	9606.ENSP00000358513	9606.ENSP00000321106	0.0	0.0	0.0	0.0	0.105	0.0	0.0	0.409	0.448
64	1	CNR1	GAD1	9606.ENSP00000358513	9606.ENSP00000350928	0.0	0.0	0.0	0.0	0.095	0.05	0.0	0.439	0.476
65	1	CNR1	GRIA1	9606.ENSP00000358513	9606.ENSP00000428994	0.0	0.0	0.0	0.0	0.148	0.061	0.0	0.375	0.456
66	1	CNTLN	EPB41	9606.ENSP00000370021	9606.ENSP00000345259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.511	0.511
67	1	COL4A1	COL5A2	9606.ENSP00000364979	9606.ENSP00000364000	0.0	0.0	0.097	0.693	0.48	0.0	0.4	0.731	0.914
68	1	COL4A1	F10	9606.ENSP00000364979	9606.ENSP00000364709	0.0	0.0	0.0	0.0	0.067	0.051	0.0	0.428	0.449
69	1	COMP	TTR	9606.ENSP00000222271	9606.ENSP00000237014	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.451	0.468
70	1	COMP	EPYC	9606.ENSP00000222271	9606.ENSP00000261172	0.0	0.0	0.0	0.0	0.231	0.099	0.0	0.317	0.485
71	1	CPB1	CPB2	9606.ENSP00000417222	9606.ENSP00000181383	0.0	0.0	0.085	0.91	0.049	0.0	0.9	0.42	0.942
72	1	CPB1	LTF	9606.ENSP00000417222	9606.ENSP00000231751	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.45	0.47
73	1	CPB2	HP	9606.ENSP00000181383	9606.ENSP00000348170	0.0	0.0	0.0	0.0	0.266	0.113	0.0	0.163	0.407
74	1	CPB2	GC	9606.ENSP00000181383	9606.ENSP00000421725	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.164	0.433
75	1	CPB2	HPR	9606.ENSP00000181383	9606.ENSP00000441828	0.0	0.0	0.0	0.0	0.296	0.113	0.0	0.189	0.45
76	1	CPB2	F9	9606.ENSP00000181383	9606.ENSP00000218099	0.0	0.0	0.0	0.0	0.264	0.126	0.0	0.49	0.644
77	1	CPB2	F10	9606.ENSP00000181383	9606.ENSP00000364709	0.0	0.0	0.0	0.0	0.17	0.126	0.0	0.59	0.677
78	1	CRLF2	TAC1	9606.ENSP00000370978	9606.ENSP00000321106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.436	0.436
79	1	CRLF2	IFNA8	9606.ENSP00000370978	9606.ENSP00000369553	0.0	0.0	0.0	0.0	0.042	0.0	0.65	0.0	0.65
81	1	CRTAM	KLRB1	9606.ENSP00000227348	9606.ENSP00000229402	0.0	0.0	0.204	0.0	0.211	0.0	0.0	0.287	0.513
82	1	CXCR2	LTF	9606.ENSP00000319635	9606.ENSP00000231751	0.0	0.0	0.0	0.0	0.105	0.0	0.0	0.369	0.411
83	1	CXCR2	FCGR1A	9606.ENSP00000319635	9606.ENSP00000358165	0.0	0.0	0.0	0.0	0.083	0.098	0.0	0.357	0.421
84	1	CXCR2	SELE	9606.ENSP00000319635	9606.ENSP00000331736	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.474	0.492
85	1	CXCR2	GRIA1	9606.ENSP00000319635	9606.ENSP00000428994	0.0	0.0	0.0	0.0	0.0	0.631	0.0	0.104	0.655
86	1	CYP27B1	CYP2D6	9606.ENSP00000228606	9606.ENSP00000496150	0.0	0.0	0.24	0.593	0.062	0.091	0.0	0.26	0.456
87	1	CYP27B1	GC	9606.ENSP00000228606	9606.ENSP00000421725	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.856	0.858
88	1	CYP2D6	CYP4F3	9606.ENSP00000496150	9606.ENSP00000221307	0.0	0.0	0.242	0.587	0.082	0.065	0.098	0.221	0.461
89	1	CYP2D6	CYP4F2	9606.ENSP00000496150	9606.ENSP00000221700	0.0	0.0	0.24	0.593	0.102	0.065	0.098	0.323	0.539
90	1	CYP2D6	SLC47A1	9606.ENSP00000496150	9606.ENSP00000270570	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.447	0.461
91	1	CYP2D6	CYP3A7	9606.ENSP00000496150	9606.ENSP00000337450	0.0	0.0	0.236	0.604	0.089	0.076	0.116	0.334	0.552
92	1	CYP2D6	CYP4F12	9606.ENSP00000496150	9606.ENSP00000448998	0.0	0.0	0.238	0.596	0.091	0.065	0.098	0.227	0.467
94	1	CYP3A7	CYP4F3	9606.ENSP00000337450	9606.ENSP00000221307	0.0	0.0	0.195	0.688	0.137	0.071	0.107	0.204	0.458
95	1	CYP3A7	CYP4F2	9606.ENSP00000337450	9606.ENSP00000221700	0.0	0.0	0.197	0.683	0.161	0.071	0.107	0.2	0.472
96	1	CYP3A7	CYP4F12	9606.ENSP00000337450	9606.ENSP00000448998	0.0	0.0	0.194	0.689	0.124	0.071	0.107	0.212	0.455
98	1	CYP4F12	CYP4F2	9606.ENSP00000448998	9606.ENSP00000221700	0.0	0.0	0.05	0.981	0.212	0.472	0.0	0.058	0.578
99	1	CYP4F2	F9	9606.ENSP00000221700	9606.ENSP00000218099	0.0	0.0	0.0	0.0	0.154	0.071	0.0	0.542	0.609
100	1	CYP4F2	CYP4F3	9606.ENSP00000221700	9606.ENSP00000221307	0.0	0.0	0.049	0.983	0.775	0.0	0.9	0.057	0.977
101	1	DDC	SST	9606.ENSP00000403644	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.503	0.525
102	1	DDC	GOT1	9606.ENSP00000403644	9606.ENSP00000359539	0.0	0.0	0.0	0.0	0.12	0.0	0.9	0.278	0.931
103	1	DMRT1	TEX14	9606.ENSP00000371711	9606.ENSP00000240361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.475	0.475
104	1	DOCK2	IRAK4	9606.ENSP00000429283	9606.ENSP00000479889	0.0	0.0	0.0	0.0	0.06	0.045	0.0	0.49	0.502
105	1	DOCK3	SYT1	9606.ENSP00000266037	9606.ENSP00000261205	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.431	0.496
106	1	DOK2	GRAP	9606.ENSP00000276420	9606.ENSP00000284154	0.0	0.0	0.0	0.0	0.138	0.071	0.0	0.533	0.593
107	1	E2F2	TFDP3	9606.ENSP00000355249	9606.ENSP00000385461	0.0	0.0	0.0	0.0	0.07	0.419	0.0	0.673	0.807
108	1	E2F2	RBL1	9606.ENSP00000355249	9606.ENSP00000362768	0.0	0.0	0.0	0.0	0.099	0.74	0.9	0.389	0.983
109	1	ELAVL2	IFNA8	9606.ENSP00000369453	9606.ENSP00000369553	0.0	0.0	0.0	0.0	0.067	0.0	0.0	0.445	0.46
110	1	EPB41	GRIA1	9606.ENSP00000345259	9606.ENSP00000428994	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.521	0.522
111	1	ERMAP	LTF	9606.ENSP00000361595	9606.ENSP00000231751	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.584	0.593
112	1	ERMAP	SLC14A1	9606.ENSP00000361595	9606.ENSP00000390637	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.451	0.463
113	1	F10	F9	9606.ENSP00000364709	9606.ENSP00000218099	0.0	0.0	0.082	0.915	0.143	0.0	0.9	0.476	0.953
114	1	F9	TTR	9606.ENSP00000218099	9606.ENSP00000237014	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.381	0.484
115	1	F9	HPRT1	9606.ENSP00000218099	9606.ENSP00000298556	0.0	0.0	0.0	0.0	0.103	0.0	0.0	0.456	0.491
116	1	FAHD2A	FAHD2B	9606.ENSP00000233379	9606.ENSP00000410470	0.0	0.0	0.047	0.986	0.128	0.698	0.0	0.05	0.729
118	1	FGF20	GLI1	9606.ENSP00000180166	9606.ENSP00000228682	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.504	0.506
119	1	FOLH1	SST	9606.ENSP00000256999	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.518	0.546
120	1	FOLH1	PTK7	9606.ENSP00000256999	9606.ENSP00000418754	0.0	0.0	0.0	0.0	0.046	0.046	0.0	0.63	0.635
121	1	FOLH1	FOLR3	9606.ENSP00000256999	9606.ENSP00000481114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.797	0.797
122	1	FOLR3	MCTP1	9606.ENSP00000481114	9606.ENSP00000424126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4
123	1	FOXO4	GLI1	9606.ENSP00000363377	9606.ENSP00000228682	0.0	0.0	0.0	0.0	0.074	0.096	0.0	0.478	0.525
124	1	GAD1	SYT1	9606.ENSP00000350928	9606.ENSP00000261205	0.0	0.0	0.0	0.0	0.173	0.0	0.5	0.441	0.748
125	1	GAD1	SST	9606.ENSP00000350928	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.135	0.0	0.0	0.859	0.873
126	1	GAD1	TUBB3	9606.ENSP00000350928	9606.ENSP00000320295	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.421	0.431
127	1	GAD1	TAC1	9606.ENSP00000350928	9606.ENSP00000321106	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.675	0.689
128	1	GAD1	STMN2	9606.ENSP00000350928	9606.ENSP00000429243	0.0	0.0	0.0	0.0	0.123	0.045	0.0	0.354	0.411
129	1	GAD1	NEFL	9606.ENSP00000350928	9606.ENSP00000482169	0.0	0.0	0.0	0.0	0.162	0.046	0.0	0.368	0.451
130	1	GAD1	GRIA1	9606.ENSP00000350928	9606.ENSP00000428994	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.592	0.633
131	1	GAD1	GOT1	9606.ENSP00000350928	9606.ENSP00000359539	0.0	0.0	0.0	0.0	0.057	0.0	0.8	0.244	0.845
132	1	GALR2	SST	9606.ENSP00000329684	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.044	0.0	0.5	0.355	0.665
133	1	GALR2	PNOC	9606.ENSP00000329684	9606.ENSP00000301908	0.0	0.0	0.0	0.0	0.042	0.136	0.5	0.185	0.617
134	1	GALR2	TAC1	9606.ENSP00000329684	9606.ENSP00000321106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.538	0.538
135	1	GC	LTF	9606.ENSP00000421725	9606.ENSP00000231751	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.628	0.65
136	1	GC	TTR	9606.ENSP00000421725	9606.ENSP00000237014	0.0	0.0	0.0	0.0	0.728	0.0	0.0	0.645	0.899
137	1	GC	HP	9606.ENSP00000421725	9606.ENSP00000348170	0.0	0.0	0.0	0.0	0.255	0.238	0.0	0.848	0.906
138	1	GC	HPR	9606.ENSP00000421725	9606.ENSP00000441828	0.0	0.0	0.0	0.0	0.259	0.0	0.0	0.332	0.484
139	1	GCK	NUP93	9606.ENSP00000223366	9606.ENSP00000310668	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.4
140	1	GCK	SI	9606.ENSP00000223366	9606.ENSP00000264382	0.0	0.0	0.0	0.0	0.056	0.0	0.116	0.463	0.512
141	1	GCK	ONECUT1	9606.ENSP00000223366	9606.ENSP00000302630	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.542	0.543
142	1	GCK	SST	9606.ENSP00000223366	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.56	0.575
143	1	GDAP1	PRX	9606.ENSP00000220822	9606.ENSP00000326018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.544	0.544
144	1	GDAP1	NEFL	9606.ENSP00000220822	9606.ENSP00000482169	0.0	0.0	0.0	0.0	0.129	0.0	0.0	0.623	0.658
146	1	GLI1	RAB23	9606.ENSP00000228682	9606.ENSP00000417610	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.438	0.439
147	1	GLI1	TUBB3	9606.ENSP00000228682	9606.ENSP00000320295	0.0	0.0	0.0	0.0	0.0	0.334	0.0	0.194	0.441
148	1	GLRA1	GLRB	9606.ENSP00000411593	9606.ENSP00000264428	0.0	0.0	0.083	0.903	0.061	0.41	0.5	0.375	0.812
149	1	GLRB	SYNGR3	9606.ENSP00000264428	9606.ENSP00000248121	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.379	0.414
150	1	GOT1	NUP93	9606.ENSP00000359539	9606.ENSP00000310668	0.0	0.0	0.0	0.0	0.064	0.31	0.0	0.186	0.428
151	1	GPR22	SST	9606.ENSP00000302676	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.52	0.53
152	1	GRAP	PRLH	9606.ENSP00000284154	9606.ENSP00000165524	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.582	0.582
153	1	GRIA1	SYT1	9606.ENSP00000428994	9606.ENSP00000261205	0.0	0.0	0.213	0.0	0.197	0.061	0.0	0.479	0.649
154	1	GRIA1	SST	9606.ENSP00000428994	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.135	0.0	0.0	0.357	0.42
155	1	GRIA1	TUBB3	9606.ENSP00000428994	9606.ENSP00000320295	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.427	0.434
156	1	GRIA1	NETO2	9606.ENSP00000428994	9606.ENSP00000455169	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.409	0.418
157	1	GRIA1	NEFL	9606.ENSP00000428994	9606.ENSP00000482169	0.0	0.0	0.0	0.0	0.17	0.0	0.5	0.25	0.661
158	1	GTF2H3	RPA3	9606.ENSP00000445162	9606.ENSP00000223129	0.0	0.0	0.0	0.0	0.067	0.076	0.5	0.305	0.66
159	1	GTF2H3	POLR2J	9606.ENSP00000445162	9606.ENSP00000292614	0.0	0.0	0.0	0.0	0.054	0.897	0.5	0.084	0.949
160	1	GTF2H3	POLR2J2	9606.ENSP00000445162	9606.ENSP00000330898	0.0	0.0	0.0	0.0	0.042	0.508	0.0	0.0	0.508
162	1	GTF2H3	POLR2J3	9606.ENSP00000445162	9606.ENSP00000483328	0.0	0.0	0.0	0.0	0.0	0.508	0.0	0.0	0.508
176	1	HBE1	HP	9606.ENSP00000292896	9606.ENSP00000348170	0.0	0.0	0.0	0.0	0.088	0.106	0.54	0.495	0.785
177	1	HHLA2	KIR3DL1	9606.ENSP00000350402	9606.ENSP00000375608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.409	0.409
178	1	HOXB1	POLR2J	9606.ENSP00000355140	9606.ENSP00000292614	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.499
179	1	HOXB1	HOXB9	9606.ENSP00000355140	9606.ENSP00000309439	0.0	0.0	0.0	0.68	0.075	0.134	0.0	0.328	0.415
180	1	HOXB1	PAGR1	9606.ENSP00000355140	9606.ENSP00000326519	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.099	0.53
181	1	HOXB1	ROBO3	9606.ENSP00000355140	9606.ENSP00000380903	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.585	0.604
182	1	HP	LTF	9606.ENSP00000348170	9606.ENSP00000231751	0.0	0.0	0.0	0.0	0.26	0.052	0.0	0.752	0.811
183	1	HP	TTR	9606.ENSP00000348170	9606.ENSP00000237014	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.865	0.871
184	1	HP	HPR	9606.ENSP00000348170	9606.ENSP00000441828	0.0	0.0	0.049	0.982	0.906	0.432	0.0	0.385	0.964
185	1	HPRT1	PDE9A	9606.ENSP00000298556	9606.ENSP00000291539	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.086	0.904
186	1	HPRT1	TUBB3	9606.ENSP00000298556	9606.ENSP00000320295	0.0	0.0	0.0	0.0	0.07	0.234	0.0	0.238	0.41
187	1	IFNA8	SST	9606.ENSP00000369553	9606.ENSP00000287641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.524	0.524
189	1	INCENP	PLK2	9606.ENSP00000378295	9606.ENSP00000274289	0.0	0.0	0.0	0.0	0.385	0.091	0.0	0.352	0.606
190	1	INCENP	NUP93	9606.ENSP00000378295	9606.ENSP00000310668	0.0	0.0	0.0	0.0	0.112	0.0	0.4	0.112	0.486
191	1	INCENP	PRC1	9606.ENSP00000378295	9606.ENSP00000377793	0.0	0.0	0.0	0.0	0.718	0.292	0.0	0.521	0.896
192	1	INCENP	KIFC3	9606.ENSP00000378295	9606.ENSP00000442008	0.0	0.0	0.0	0.0	0.525	0.0	0.0	0.093	0.55
194	1	IRAK4	UNC93B1	9606.ENSP00000479889	9606.ENSP00000227471	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.613	0.614
195	1	KIR3DL1	KLRB1	9606.ENSP00000375608	9606.ENSP00000229402	0.0	0.0	0.0	0.0	0.127	0.0	0.0	0.576	0.614
196	1	LMNB1	RPA3	9606.ENSP00000261366	9606.ENSP00000223129	0.0	0.0	0.0	0.0	0.063	0.476	0.0	0.151	0.546
197	1	LMNB1	PRC1	9606.ENSP00000261366	9606.ENSP00000377793	0.0	0.0	0.0	0.0	0.209	0.292	0.0	0.087	0.444
198	1	LMNB1	NUP93	9606.ENSP00000261366	9606.ENSP00000310668	0.0	0.0	0.0	0.0	0.104	0.19	0.0	0.385	0.515
199	1	LRAT	TTR	9606.ENSP00000337224	9606.ENSP00000237014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.445	0.445
200	1	LRAT	RBP3	9606.ENSP00000337224	9606.ENSP00000463151	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.609	0.609
201	1	LRIT1	PTK7	9606.ENSP00000361177	9606.ENSP00000418754	0.0	0.0	0.0	0.0	0.0	0.518	0.0	0.09	0.542
202	1	LTF	SCGB2A1	9606.ENSP00000231751	9606.ENSP00000244930	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.418	0.444
203	1	LTF	TTR	9606.ENSP00000231751	9606.ENSP00000237014	0.0	0.0	0.0	0.0	0.088	0.0	0.4	0.67	0.803
204	1	MON1B	SYCE1L	9606.ENSP00000248248	9606.ENSP00000367911	0.0	0.157	0.0	0.0	0.0	0.0	0.0	0.48	0.543
205	1	MPV17	MRPS16	9606.ENSP00000369383	9606.ENSP00000362036	0.0	0.0	0.0	0.0	0.092	0.205	0.0	0.321	0.467
206	1	MRPS15	RPS4Y1	9606.ENSP00000362208	9606.ENSP00000250784	0.0	0.0	0.0	0.0	0.595	0.506	0.0	0.115	0.807
207	1	MRPS15	MRPS16	9606.ENSP00000362208	9606.ENSP00000362036	0.061	0.0	0.0	0.0	0.841	0.993	0.9	0.591	0.999
208	1	MRPS15	RSRC1	9606.ENSP00000362208	9606.ENSP00000481697	0.061	0.0	0.0	0.0	0.306	0.416	0.0	0.159	0.637
209	1	MUC3A	ST3GAL1	9606.ENSP00000368771	9606.ENSP00000428540	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.108	0.441
210	1	NEFL	SYT1	9606.ENSP00000482169	9606.ENSP00000261205	0.0	0.0	0.0	0.0	0.207	0.053	0.0	0.647	0.711
211	1	NEFL	PNOC	9606.ENSP00000482169	9606.ENSP00000301908	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.558	0.561
